Sample:float,Data:float
"856.0","6359.0"
"857.0","6341.0"
"858.0","6302.0"
"859.0","6230.0"
"860.0","6134.0"
"861.0","6016.0"
"862.0","5870.0"
"863.0","5697.0"
"864.0","5488.0"
"865.0","5265.0"
"866.0","5021.0"
"867.0","4753.0"
"868.0","4458.0"
"869.0","4148.0"
"870.0","3821.0"
"871.0","3477.0"
"872.0","3118.0"
"873.0","2741.0"
"874.0","2365.0"
"875.0","1973.0"
"876.0","1564.0"
"877.0","1147.0"
"878.0","732.0"
"879.0","311.0"
"880.0","-118.0"
"881.0","-538.0"
"882.0","-964.0"
"883.0","-1385.0"
"884.0","-1803.0"
"885.0","-2211.0"
"886.0","-2600.0"
"887.0","-2992.0"
"888.0","-3371.0"
"889.0","-3739.0"
"890.0","-4079.0"
"891.0","-4403.0"
"892.0","-4724.0"
"893.0","-5018.0"
"894.0","-5289.0"
"895.0","-5533.0"
"896.0","-5759.0"
"897.0","-5969.0"
"898.0","-6144.0"
"899.0","-6287.0"
"900.0","-6418.0"
"901.0","-6511.0"
"902.0","-6585.0"
"903.0","-6632.0"
"904.0","-6645.0"
"905.0","-6629.0"
"906.0","-6586.0"
"907.0","-6527.0"
"908.0","-6430.0"
"909.0","-6307.0"
"910.0","-6155.0"
"911.0","-5982.0"
"912.0","-5790.0"
"913.0","-5563.0"
"914.0","-5310.0"
"915.0","-5040.0"
"916.0","-4757.0"
"917.0","-4445.0"
"918.0","-4118.0"
"919.0","-3779.0"
"920.0","-3411.0"
"921.0","-3040.0"
"922.0","-2654.0"
"923.0","-2252.0"
"924.0","-1849.0"
"925.0","-1430.0"
"926.0","-1021.0"
"927.0","-592.0"
"928.0","-169.0"
"929.0","253.0"
"930.0","681.0"
"931.0","1095.0"
"932.0","1512.0"
"933.0","1921.0"
"934.0","2322.0"
"935.0","2703.0"
"936.0","3077.0"
"937.0","3439.0"
"938.0","3793.0"
"939.0","4124.0"
"940.0","4422.0"
"941.0","4716.0"
"942.0","4993.0"
"943.0","5243.0"
"944.0","5462.0"
"945.0","5657.0"
"946.0","5838.0"
"947.0","5993.0"
"948.0","6120.0"
"949.0","6220.0"
"950.0","6298.0"
"951.0","6340.0"
"952.0","6360.0"
"953.0","6349.0"
"954.0","6308.0"
"955.0","6241.0"
"956.0","6135.0"
"957.0","6025.0"
"958.0","5877.0"
"959.0","5695.0"
"960.0","5504.0"
"961.0","5276.0"
"962.0","5033.0"
"963.0","4762.0"
"964.0","4468.0"
"965.0","4166.0"
"966.0","3834.0"
"967.0","3491.0"
"968.0","3133.0"
"969.0","2753.0"
"970.0","2364.0"
"971.0","1964.0"
"972.0","1565.0"
"973.0","1149.0"
"974.0","724.0"
"975.0","307.0"
"976.0","-119.0"
"977.0","-548.0"
"978.0","-971.0"
"979.0","-1387.0"
"980.0","-1800.0"
"981.0","-2211.0"
"982.0","-2609.0"
"983.0","-2999.0"
"984.0","-3376.0"
"985.0","-3732.0"
"986.0","-4074.0"
"987.0","-4413.0"
"988.0","-4728.0"
"989.0","-5012.0"
"990.0","-5288.0"
"991.0","-5532.0"
"992.0","-5755.0"
"993.0","-5966.0"
"994.0","-6136.0"
"995.0","-6282.0"
"996.0","-6411.0"
"997.0","-6517.0"
"998.0","-6580.0"
"999.0","-6625.0"
"1000.0","-6640.0"
"1001.0","-6627.0"
"1002.0","-6600.0"
"1003.0","-6529.0"
"1004.0","-6425.0"
"1005.0","-6302.0"
"1006.0","-6162.0"
"1007.0","-5990.0"
"1008.0","-5788.0"
"1009.0","-5559.0"
"1010.0","-5313.0"
"1011.0","-5055.0"
"1012.0","-4758.0"
"1013.0","-4445.0"
"1014.0","-4124.0"
"1015.0","-3780.0"
"1016.0","-3426.0"
"1017.0","-3051.0"
"1018.0","-2662.0"
"1019.0","-2265.0"
"1020.0","-1860.0"
"1021.0","-1450.0"
"1022.0","-1029.0"
"1023.0","-604.0"
"1024.0","-176.0"
"1025.0","249.0"
"1026.0","681.0"
"1027.0","1105.0"
"1028.0","1517.0"
"1029.0","1923.0"
"1030.0","2328.0"
"1031.0","2715.0"
"1032.0","3083.0"
"1033.0","3451.0"
"1034.0","3794.0"
"1035.0","4127.0"
"1036.0","4436.0"
"1037.0","4731.0"
"1038.0","5004.0"
"1039.0","5246.0"
"1040.0","5477.0"
"1041.0","5678.0"
"1042.0","5854.0"
"1043.0","6005.0"
"1044.0","6129.0"
"1045.0","6229.0"
"1046.0","6295.0"
"1047.0","6338.0"
"1048.0","6360.0"
"1049.0","6342.0"
"1050.0","6300.0"
"1051.0","6229.0"
"1052.0","6143.0"
"1053.0","6023.0"
"1054.0","5863.0"
"1055.0","5696.0"
"1056.0","5491.0"
"1057.0","5275.0"
"1058.0","5033.0"
"1059.0","4752.0"
"1060.0","4466.0"
"1061.0","4163.0"
"1062.0","3830.0"
"1063.0","3489.0"
"1064.0","3126.0"
"1065.0","2748.0"
"1066.0","2372.0"
"1067.0","1970.0"
"1068.0","1554.0"
"1069.0","1146.0"
"1070.0","733.0"
"1071.0","309.0"
"1072.0","-115.0"
"1073.0","-550.0"
"1074.0","-974.0"
"1075.0","-1382.0"
"1076.0","-1794.0"
"1077.0","-2212.0"
"1078.0","-2618.0"
"1079.0","-3004.0"
"1080.0","-3373.0"
"1081.0","-3730.0"
"1082.0","-4081.0"
"1083.0","-4416.0"
"1084.0","-4722.0"
"1085.0","-5017.0"
"1086.0","-5280.0"
"1087.0","-5537.0"
"1088.0","-5769.0"
"1089.0","-5965.0"
"1090.0","-6146.0"
"1091.0","-6293.0"
"1092.0","-6424.0"
"1093.0","-6521.0"
"1094.0","-6589.0"
"1095.0","-6631.0"
"1096.0","-6648.0"
"1097.0","-6646.0"
"1098.0","-6604.0"
