Sample:float,Data:float
"855.0","-8938.0"
"856.0","-9578.0"
"857.0","-10160.0"
"858.0","-10710.0"
"859.0","-11218.0"
"860.0","-11662.0"
"861.0","-12068.0"
"862.0","-12432.0"
"863.0","-12726.0"
"864.0","-12974.0"
"865.0","-13166.0"
"866.0","-13318.0"
"867.0","-13398.0"
"868.0","-13422.0"
"869.0","-13406.0"
"870.0","-13326.0"
"871.0","-13192.0"
"872.0","-13010.0"
"873.0","-12756.0"
"874.0","-12470.0"
"875.0","-12108.0"
"876.0","-11720.0"
"877.0","-11258.0"
"878.0","-10760.0"
"879.0","-10214.0"
"880.0","-9638.0"
"881.0","-9000.0"
"882.0","-8336.0"
"883.0","-7638.0"
"884.0","-6918.0"
"885.0","-6150.0"
"886.0","-5364.0"
"887.0","-4566.0"
"888.0","-3738.0"
"889.0","-2896.0"
"890.0","-2036.0"
"891.0","-1188.0"
"892.0","-330.0"
"893.0","530.0"
"894.0","1390.0"
"895.0","2250.0"
"896.0","3086.0"
"897.0","3912.0"
"898.0","4710.0"
"899.0","5508.0"
"900.0","6268.0"
"901.0","6994.0"
"902.0","7696.0"
"903.0","8368.0"
"904.0","9002.0"
"905.0","9590.0"
"906.0","10146.0"
"907.0","10632.0"
"908.0","11098.0"
"909.0","11522.0"
"910.0","11856.0"
"911.0","12170.0"
"912.0","12420.0"
"913.0","12628.0"
"914.0","12760.0"
"915.0","12854.0"
"916.0","12874.0"
"917.0","12846.0"
"918.0","12772.0"
"919.0","12632.0"
"920.0","12444.0"
"921.0","12198.0"
"922.0","11880.0"
"923.0","11542.0"
"924.0","11128.0"
"925.0","10674.0"
"926.0","10196.0"
"927.0","9626.0"
"928.0","9038.0"
"929.0","8422.0"
"930.0","7734.0"
"931.0","7058.0"
"932.0","6324.0"
"933.0","5568.0"
"934.0","4790.0"
"935.0","3990.0"
"936.0","3172.0"
"937.0","2350.0"
"938.0","1488.0"
"939.0","638.0"
"940.0","-228.0"
"941.0","-1092.0"
"942.0","-1946.0"
"943.0","-2798.0"
"944.0","-3642.0"
"945.0","-4462.0"
"946.0","-5274.0"
"947.0","-6052.0"
"948.0","-6816.0"
"949.0","-7560.0"
"950.0","-8250.0"
"951.0","-8918.0"
"952.0","-9558.0"
"953.0","-10144.0"
"954.0","-10696.0"
"955.0","-11216.0"
"956.0","-11664.0"
"957.0","-12070.0"
"958.0","-12444.0"
"959.0","-12732.0"
"960.0","-12996.0"
"961.0","-13180.0"
"962.0","-13336.0"
"963.0","-13402.0"
"964.0","-13438.0"
"965.0","-13412.0"
"966.0","-13338.0"
"967.0","-13198.0"
"968.0","-13020.0"
"969.0","-12764.0"
"970.0","-12468.0"
"971.0","-12112.0"
"972.0","-11714.0"
"973.0","-11264.0"
"974.0","-10756.0"
"975.0","-10210.0"
"976.0","-9630.0"
"977.0","-8990.0"
"978.0","-8328.0"
"979.0","-7638.0"
"980.0","-6908.0"
"981.0","-6142.0"
"982.0","-5364.0"
"983.0","-4564.0"
"984.0","-3744.0"
"985.0","-2896.0"
"986.0","-2046.0"
"987.0","-1196.0"
"988.0","-336.0"
"989.0","528.0"
"990.0","1384.0"
"991.0","2240.0"
"992.0","3074.0"
"993.0","3904.0"
"994.0","4702.0"
"995.0","5496.0"
"996.0","6246.0"
"997.0","6980.0"
"998.0","7680.0"
"999.0","8346.0"
"1000.0","8980.0"
"1001.0","9564.0"
"1002.0","10116.0"
"1003.0","10608.0"
"1004.0","11072.0"
"1005.0","11486.0"
"1006.0","11828.0"
"1007.0","12140.0"
"1008.0","12402.0"
"1009.0","12614.0"
"1010.0","12760.0"
"1011.0","12848.0"
"1012.0","12876.0"
"1013.0","12860.0"
"1014.0","12784.0"
"1015.0","12646.0"
"1016.0","12458.0"
"1017.0","12212.0"
"1018.0","11898.0"
"1019.0","11556.0"
"1020.0","11144.0"
"1021.0","10692.0"
"1022.0","10216.0"
"1023.0","9660.0"
"1024.0","9066.0"
"1025.0","8448.0"
"1026.0","7754.0"
"1027.0","7074.0"
"1028.0","6348.0"
"1029.0","5582.0"
"1030.0","4796.0"
"1031.0","3996.0"
"1032.0","3170.0"
"1033.0","2348.0"
"1034.0","1478.0"
"1035.0","620.0"
"1036.0","-236.0"
"1037.0","-1102.0"
"1038.0","-1960.0"
"1039.0","-2798.0"
"1040.0","-3654.0"
"1041.0","-4462.0"
"1042.0","-5274.0"
"1043.0","-6056.0"
"1044.0","-6818.0"
"1045.0","-7562.0"
"1046.0","-8254.0"
"1047.0","-8914.0"
"1048.0","-9560.0"
"1049.0","-10146.0"
"1050.0","-10700.0"
"1051.0","-11210.0"
"1052.0","-11656.0"
"1053.0","-12060.0"
"1054.0","-12428.0"
"1055.0","-12726.0"
"1056.0","-12986.0"
"1057.0","-13166.0"
"1058.0","-13326.0"
"1059.0","-13398.0"
"1060.0","-13432.0"
"1061.0","-13418.0"
"1062.0","-13338.0"
"1063.0","-13198.0"
"1064.0","-13022.0"
"1065.0","-12774.0"
"1066.0","-12476.0"
"1067.0","-12110.0"
"1068.0","-11722.0"
"1069.0","-11262.0"
"1070.0","-10764.0"
"1071.0","-10214.0"
"1072.0","-9630.0"
"1073.0","-9008.0"
"1074.0","-8342.0"
"1075.0","-7650.0"
"1076.0","-6928.0"
"1077.0","-6168.0"
"1078.0","-5388.0"
"1079.0","-4600.0"
"1080.0","-3770.0"
"1081.0","-2924.0"
"1082.0","-2064.0"
"1083.0","-1212.0"
"1084.0","-344.0"
"1085.0","514.0"
"1086.0","1378.0"
"1087.0","2250.0"
"1088.0","3090.0"
"1089.0","3912.0"
"1090.0","4718.0"
"1091.0","5516.0"
"1092.0","6264.0"
"1093.0","7010.0"
"1094.0","7698.0"
"1095.0","8366.0"
"1096.0","8996.0"
"1097.0","9592.0"
"1098.0","10148.0"
"1099.0","10638.0"
"1100.0","11096.0"
"1101.0","11504.0"
"1102.0","11850.0"
"1103.0","12166.0"
"1104.0","12428.0"
"1105.0","12640.0"
"1106.0","12760.0"
"1107.0","12850.0"
"1108.0","12880.0"
"1109.0","12850.0"
"1110.0","12772.0"
"1111.0","12640.0"
"1112.0","12440.0"
"1113.0","12198.0"
"1114.0","11886.0"
"1115.0","11546.0"
"1116.0","11136.0"
"1117.0","10682.0"
"1118.0","10206.0"
"1119.0","9644.0"
"1120.0","9056.0"
"1121.0","8444.0"
"1122.0","7754.0"
"1123.0","7072.0"
"1124.0","6344.0"
"1125.0","5584.0"
"1126.0","4800.0"
"1127.0","3996.0"
"1128.0","3172.0"
"1129.0","2348.0"
"1130.0","1490.0"
"1131.0","628.0"
"1132.0","-228.0"
"1133.0","-1098.0"
"1134.0","-1954.0"
"1135.0","-2802.0"
"1136.0","-3658.0"
"1137.0","-4466.0"
"1138.0","-5274.0"
"1139.0","-6064.0"
"1140.0","-6824.0"
"1141.0","-7560.0"
"1142.0","-8252.0"
"1143.0","-8922.0"
"1144.0","-9558.0"
"1145.0","-10154.0"
"1146.0","-10704.0"
"1147.0","-11218.0"
"1148.0","-11666.0"
"1149.0","-12076.0"
"1150.0","-12442.0"
"1151.0","-12742.0"
